3.5200	3.9400	46.88
4.1300	4.4500	46.88
4.6400	5.0600	53.27
5.2300	5.6000	53.27
5.8100	6.3200	55.76
6.3600	6.7900	54.96
6.9400	7.4200	53.27
8.1300	8.6200	51.39
8.6700	9.1300	51.39
9.2300	9.5600	51.39
9.8300	10.3100	50.37
10.4500	10.7300	49.28
11.0100	11.4500	49.28
11.5400	11.9700	46.88
12.7200	13.0400	53.27
13.3100	13.6700	53.27
13.8400	14.3500	51.39
14.4000	14.8600	51.39
15.0400	15.4400	50.37
15.5500	16.0700	51.39
16.1600	16.6100	49.28
17.3300	17.7100	53.27
17.8700	18.2700	54.14
18.4200	18.9400	51.39
19.0000	19.5000	51.39
19.5600	20.0000	50.37
20.1100	20.6200	51.39
20.7000	21.1400	49.28
21.8800	22.2600	46.88
22.4300	22.7300	46.88
22.9300	23.3500	54.14
23.5100	23.8500	53.27
24.0600	24.5400	55.76
24.5900	24.9800	55.76
25.1500	25.6500	53.27
26.2800	26.8000	51.39
26.8600	27.2300	51.39
27.3700	27.7200	50.37
28.0000	28.4700	50.37
28.5100	28.9000	49.28
29.2200	29.6400	49.28
29.7200	30.2600	46.83
