2.2600	2.5900	52.30
2.6700	3.0000	57.47
3.2000	3.7200	55.34
4.8600	5.1100	53.82
5.2300	5.7700	49.82
6.8200	7.1800	49.17
7.2700	7.6600	57.06
7.8100	8.1200	54.80
8.2400	8.5900	53.82
8.6600	9.3600	49.78
10.9800	11.3300	51.06
11.5000	11.8100	57.88
11.8900	12.1900	56.19
12.3800	12.6700	53.30
12.6900	13.5500	50.37
14.3400	14.6800	58.28
14.7400	15.0500	59.42
15.2400	15.5200	57.06
15.7200	16.0900	53.30
16.6900	17.3300	55.28
18.4500	18.7500	48.49
18.8200	19.1300	56.63
19.3600	19.6900	53.82
19.8200	20.1300	53.30
20.2400	20.7900	47.79
21.9800	22.2700	48.49
22.3300	22.6600	54.32
22.8200	23.0900	53.82
23.1800	23.4700	52.77
23.5800	24.2600	49.82
25.2100	25.6700	49.82
26.3500	26.7700	57.06
27.5100	27.9900	54.80
29.3000	29.6200	52.77
29.7300	30.0400	58.67
30.1500	30.4400	58.67
30.5500	30.9800	58.28
31.6900	32.1200	60.22
32.2200	32.5600	58.28
32.8400	33.1900	56.19
33.4100	33.7600	52.77
34.0200	34.6600	51.06
