2.4700	2.9500	53.78
3.0900	3.5800	51.00
3.6100	4.2000	51.00
4.6500	5.1600	51.98
5.2700	5.7400	48.87
5.7800	6.2500	48.87
6.8400	7.3100	47.69
7.4000	7.8700	48.87
7.9500	8.4000	51.00
8.4700	9.0300	51.98
9.0700	9.5000	53.78
9.5700	10.0500	53.78
10.1000	10.4700	53.78
11.2300	11.7300	52.91
11.8000	12.2500	49.97
12.2600	12.7600	51.00
12.8100	13.3200	51.00
13.3800	13.9400	51.98
13.9800	14.4200	48.87
14.5200	15.0000	48.87
15.6400	16.1000	47.69
16.2000	16.5400	51.98
16.7100	17.1600	54.62
17.3200	17.8000	53.78
17.8000	18.2500	51.00
18.3000	18.8000	51.00
18.8600	19.2800	51.00
20.0000	20.3800	49.97
20.5800	21.0400	49.97
21.1100	21.5700	49.97
21.6500	22.0000	49.97
22.2100	22.7200	48.87
22.7400	23.0000	51.00
23.2800	23.7100	52.17
24.3100	24.7900	51.00
24.8200	25.1300	51.00
25.3600	25.8900	51.00
25.9100	26.3800	51.00
26.4400	26.9200	51.00
27.0600	27.4800	51.98
27.5800	27.9900	53.78
28.6200	29.1000	53.78
29.1600	29.5800	51.00
29.7100	30.2100	51.39
30.7400	30.9700	52.35
31.2600	31.4800	48.87
31.7800	32.3200	48.87
32.8800	33.3700	47.69
33.4100	33.9100	51.98
33.9600	34.4200	53.78
34.5100	34.8900	54.62
35.1100	35.5000	51.00
35.6700	36.1700	51.00
36.1800	36.7400	51.00
