3.4800	3.6900	54.14
4.0100	4.5200	54.96
4.5900	5.0700	56.51
5.1200	5.5200	56.51
5.6800	6.1300	54.14
6.2400	6.7100	54.14
6.8100	7.3900	51.39
8.0200	8.5200	54.14
8.5900	9.0400	54.14
9.1800	9.6200	51.39
9.6700	10.2100	51.39
10.3000	11.4800	49.28
12.3700	12.8400	54.14
12.9200	13.3100	54.14
13.4600	13.9400	56.51
14.0200	14.5600	56.51
14.5800	15.0700	54.14
15.1100	15.6100	54.14
15.6700	16.1700	51.39
16.7900	17.2700	54.14
17.3800	17.8700	51.39
17.9100	18.3700	49.28
18.4700	18.9500	51.39
18.9700	20.1600	48.12
21.1100	21.3700	54.14
21.6600	22.1200	54.96
22.2100	22.6700	56.51
22.6800	23.1200	56.51
23.2700	23.7200	54.14
23.8400	24.2800	54.14
24.4400	25.0000	51.39
25.5700	26.0700	53.27
26.1400	26.6100	53.27
26.6800	27.2000	51.39
27.2200	27.7300	51.39
27.8100	28.9500	49.28
29.9400	30.3800	54.96
30.3900	30.9000	54.14
31.0000	31.3000	56.51
31.5300	32.0600	56.51
32.0900	32.5600	54.14
32.6000	33.1000	54.14
33.1900	33.6200	51.39
34.2800	34.7500	54.14
34.8000	35.2700	51.39
35.3700	35.8500	49.28
35.8800	36.4100	51.39
36.5100	37.6800	46.88
